,dim,k,loss,p
0,50.0,1.0,0.04369999999999996,14.0
1,50.0,2.0,0.04369999999999996,14.0
2,50.0,3.0,0.04025000000000001,14.0
3,50.0,4.0,0.03864999999999996,14.0
4,50.0,5.0,0.04190000000000005,14.0
5,50.0,6.0,0.04079999999999995,14.0
6,50.0,7.0,0.043300000000000005,14.0
7,50.0,8.0,0.042749999999999955,14.0
8,50.0,9.0,0.043849999999999945,14.0
9,50.0,10.0,0.044050000000000034,14.0
10,50.0,11.0,0.04535,14.0
11,50.0,12.0,0.045499999999999985,14.0
12,50.0,13.0,0.047150000000000025,14.0
13,50.0,14.0,0.04710000000000003,14.0
14,50.0,15.0,0.04810000000000003,14.0
15,50.0,16.0,0.048250000000000015,14.0
16,50.0,17.0,0.04895000000000005,14.0
17,50.0,18.0,0.04949999999999999,14.0
18,50.0,19.0,0.050899999999999945,14.0
19,50.0,20.0,0.051100000000000034,14.0
20,100.0,1.0,0.043950000000000045,14.0
21,100.0,2.0,0.043950000000000045,14.0
22,100.0,3.0,0.041200000000000014,14.0
23,100.0,4.0,0.0393,14.0
24,100.0,5.0,0.04179999999999995,14.0
25,100.0,6.0,0.04035,14.0
26,100.0,7.0,0.042950000000000044,14.0
27,100.0,8.0,0.04310000000000003,14.0
28,100.0,9.0,0.044399999999999995,14.0
29,100.0,10.0,0.043950000000000045,14.0
30,100.0,11.0,0.04620000000000002,14.0
31,100.0,12.0,0.045950000000000046,14.0
32,100.0,13.0,0.047250000000000014,14.0
33,100.0,14.0,0.04679999999999995,14.0
34,100.0,15.0,0.0484,14.0
35,100.0,16.0,0.04920000000000002,14.0
36,100.0,17.0,0.049350000000000005,14.0
37,100.0,18.0,0.049900000000000055,14.0
38,100.0,19.0,0.051649999999999974,14.0
39,100.0,20.0,0.05169999999999997,14.0
40,150.0,1.0,0.04415000000000002,14.0
41,150.0,2.0,0.04415000000000002,14.0
42,150.0,3.0,0.04115000000000002,14.0
43,150.0,4.0,0.03949999999999998,14.0
44,150.0,5.0,0.04190000000000005,14.0
45,150.0,6.0,0.04025000000000001,14.0
46,150.0,7.0,0.042950000000000044,14.0
47,150.0,8.0,0.04310000000000003,14.0
48,150.0,9.0,0.04454999999999998,14.0
49,150.0,10.0,0.04390000000000005,14.0
50,150.0,11.0,0.04625000000000001,14.0
51,150.0,12.0,0.04579999999999995,14.0
52,150.0,13.0,0.04730000000000001,14.0
53,150.0,14.0,0.04684999999999995,14.0
54,150.0,15.0,0.048250000000000015,14.0
55,150.0,16.0,0.04910000000000003,14.0
56,150.0,17.0,0.049250000000000016,14.0
57,150.0,18.0,0.049900000000000055,14.0
58,150.0,19.0,0.05149999999999999,14.0
59,150.0,20.0,0.051649999999999974,14.0
60,200.0,1.0,0.04415000000000002,14.0
61,200.0,2.0,0.04415000000000002,14.0
62,200.0,3.0,0.04115000000000002,14.0
63,200.0,4.0,0.03949999999999998,14.0
64,200.0,5.0,0.04190000000000005,14.0
65,200.0,6.0,0.04025000000000001,14.0
66,200.0,7.0,0.042950000000000044,14.0
67,200.0,8.0,0.04310000000000003,14.0
68,200.0,9.0,0.04454999999999998,14.0
69,200.0,10.0,0.04390000000000005,14.0
70,200.0,11.0,0.04630000000000001,14.0
71,200.0,12.0,0.04579999999999995,14.0
72,200.0,13.0,0.04730000000000001,14.0
73,200.0,14.0,0.04684999999999995,14.0
74,200.0,15.0,0.048250000000000015,14.0
75,200.0,16.0,0.04920000000000002,14.0
76,200.0,17.0,0.049250000000000016,14.0
77,200.0,18.0,0.049900000000000055,14.0
