,k,loss,p
0,1.0,0.9103333333333333,1.0
1,2.0,0.9103333333333333,1.0
2,3.0,0.91,1.0
3,4.0,0.9166666666666666,1.0
4,5.0,0.9093333333333333,1.0
5,6.0,0.9083333333333333,1.0
6,7.0,0.9033333333333333,1.0
7,8.0,0.9086666666666666,1.0
8,9.0,0.9036666666666666,1.0
9,10.0,0.902,1.0
10,11.0,0.901,1.0
11,12.0,0.8996666666666666,1.0
12,13.0,0.8976666666666666,1.0
13,14.0,0.896,1.0
14,15.0,0.8926666666666667,1.0
15,16.0,0.892,1.0
16,17.0,0.8903333333333333,1.0
17,18.0,0.8886666666666667,1.0
18,19.0,0.8906666666666667,1.0
19,20.0,0.8863333333333333,1.0
20,1.0,0.9193333333333333,2.0
21,2.0,0.9193333333333333,2.0
22,3.0,0.927,2.0
23,4.0,0.928,2.0
24,5.0,0.922,2.0
25,6.0,0.9213333333333333,2.0
26,7.0,0.918,2.0
27,8.0,0.9173333333333333,2.0
28,9.0,0.9146666666666666,2.0
29,10.0,0.9126666666666666,2.0
30,11.0,0.912,2.0
31,12.0,0.9113333333333333,2.0
32,13.0,0.9076666666666666,2.0
33,14.0,0.907,2.0
34,15.0,0.9066666666666666,2.0
35,16.0,0.9056666666666666,2.0
36,17.0,0.904,2.0
37,18.0,0.9033333333333333,2.0
38,19.0,0.9016666666666666,2.0
39,20.0,0.901,2.0
40,1.0,0.9246666666666666,3.0
41,2.0,0.9246666666666666,3.0
42,3.0,0.9336666666666666,3.0
43,4.0,0.9333333333333333,3.0
44,5.0,0.927,3.0
45,6.0,0.9236666666666666,3.0
46,7.0,0.921,3.0
47,8.0,0.9223333333333333,3.0
48,9.0,0.9203333333333333,3.0
49,10.0,0.918,3.0
50,11.0,0.9166666666666666,3.0
51,12.0,0.9143333333333333,3.0
52,13.0,0.914,3.0
53,14.0,0.9146666666666666,3.0
54,15.0,0.9086666666666666,3.0
55,16.0,0.9106666666666666,3.0
56,17.0,0.9066666666666666,3.0
57,18.0,0.909,3.0
58,19.0,0.9046666666666666,3.0
59,20.0,0.9046666666666666,3.0
60,1.0,0.9266666666666666,4.0
61,2.0,0.9266666666666666,4.0
62,3.0,0.9346666666666666,4.0
63,4.0,0.934,4.0
64,5.0,0.9313333333333333,4.0
65,6.0,0.9283333333333333,4.0
66,7.0,0.923,4.0
67,8.0,0.924,4.0
68,9.0,0.9236666666666666,4.0
69,10.0,0.923,4.0
70,11.0,0.9226666666666666,4.0
71,12.0,0.9183333333333333,4.0
72,13.0,0.9163333333333333,4.0
73,14.0,0.9196666666666666,4.0
74,15.0,0.9126666666666666,4.0
75,16.0,0.9146666666666666,4.0
76,17.0,0.912,4.0
77,18.0,0.9126666666666666,4.0
78,19.0,0.908,4.0
79,20.0,0.9083333333333333,4.0
80,1.0,0.927,5.0
81,2.0,0.927,5.0
82,3.0,0.9386666666666666,5.0
83,4.0,0.934,5.0
84,5.0,0.932,5.0
85,6.0,0.9323333333333333,5.0
86,7.0,0.9263333333333333,5.0
87,8.0,0.926,5.0
88,9.0,0.923,5.0
89,10.0,0.927,5.0
90,11.0,0.9233333333333333,5.0
91,12.0,0.924,5.0
92,13.0,0.9193333333333333,5.0
93,14.0,0.922,5.0
94,15.0,0.9183333333333333,5.0
95,16.0,0.918,5.0
96,17.0,0.913,5.0
97,18.0,0.9143333333333333,5.0
98,19.0,0.9133333333333333,5.0
99,20.0,0.9096666666666666,5.0
100,1.0,0.9286666666666666,6.0
101,2.0,0.9286666666666666,6.0
102,3.0,0.939,6.0
103,4.0,0.937,6.0
